Provinsi,SD Baik,SD Rusak Ringan,SD Rusak Sedang,SD Rusak Berat,SD Rusak Total,Jumlah SD ,SMP Baik,SMP Rusak Ringan,SMP Rusak Sedang,SMP Rusak Berat,SMP Rusak Total,Jumlah SMP ,SMA Baik,SMA Rusak Ringan,SMA Rusak Sedang,SMA Rusak Berat,SMA Rusak Total,Jumlah SMA ,SMK Baik,SMK Rusak Ringan,SMK Rusak Sedang,SMK Rusak Berat,SMK Rusak Total,Jumlah SMK,Total perpustakaan per provinsi
Prov. D.K.I. Jakarta,1831,264,70,45,0,2210,950,119,25,7,0,1101,435,45,7,4,0,491,469,91,11,6,0,577,4379
Prov. Jawa Barat,4890,3673,2525,1434,0,12522,2692,1306,665,298,0,4961,1011,377,148,73,0,1609,1707,695,191,77,0,2670,21762
Prov. Jawa Tengah,6550,4705,2436,1331,0,15022,1780,934,489,205,0,3408,590,202,73,41,0,906,1039,400,99,41,0,1579,20915
Prov. D.I. Yogyakarta,995,487,197,83,0,1762,282,98,43,42,0,465,144,30,22,8,0,204,163,51,12,6,0,232,2663
Prov. Jawa Timur,6345,3985,2054,1447,0,13831,2304,1201,559,313,0,4377,909,320,146,100,0,1475,1280,483,139,61,0,1963,21646
Prov. Aceh,1275,847,642,340,0,3104,539,307,230,114,0,1190,272,115,89,54,0,530,110,51,34,18,0,213,5037
Prov. Sumatera Utara,3348,1945,1028,618,0,6939,1319,568,328,194,0,2409,673,238,75,57,0,1043,579,195,75,39,0,888,11279
Prov. Sumatera Barat,1573,976,526,250,0,3325,485,191,119,61,0,856,216,61,38,31,0,346,146,41,17,10,0,214,4741
Prov. Riau,1272,666,392,207,0,2537,613,209,135,91,0,1048,316,87,37,18,0,458,174,52,15,2,0,243,4286
Prov. Jambi,783,590,376,195,0,1944,262,179,115,74,0,630,137,60,28,14,0,239,101,43,21,5,0,170,2983
Prov. Sumatera Selatan,1822,1068,655,315,0,3860,627,315,204,96,0,1242,351,129,72,31,0,583,185,64,24,8,0,281,5966
Prov. Lampung,1390,982,734,418,0,3524,621,347,202,112,0,1282,274,111,86,42,0,513,270,117,43,19,0,449,5768
Prov. Kalimantan Barat,1279,1014,685,400,0,3378,584,333,185,112,0,1214,218,92,55,37,0,402,114,57,16,9,0,196,5190
Prov. Kalimantan Tengah,813,556,316,201,0,1886,358,178,98,72,0,706,141,60,20,13,0,234,70,30,9,6,0,115,2941
Prov. Kalimantan Selatan,1068,639,381,200,0,2288,357,153,93,34,0,637,149,27,19,9,0,204,88,19,4,4,0,115,3244
Prov. Kalimantan Timur,833,345,155,146,0,1479,381,132,67,39,0,619,134,59,23,10,0,226,107,62,14,12,0,195,2519
Prov. Sulawesi Utara,731,411,289,241,0,1672,298,181,144,89,0,712,136,53,32,19,0,240,100,39,20,10,0,169,2793
Prov. Sulawesi Tengah,999,547,437,285,0,2268,376,185,128,105,0,794,157,43,24,13,0,237,86,28,27,8,0,149,3448
Prov. Sulawesi Selatan,2135,1587,1181,618,0,5521,748,375,319,145,0,1587,333,150,68,45,0,596,218,102,43,11,0,374,8078
Prov. Sulawesi Tenggara,850,444,414,280,0,1988,379,166,137,88,0,770,145,63,59,47,0,314,73,22,25,19,0,139,3211
Prov. Maluku,568,245,311,208,0,1332,265,102,78,75,0,520,132,56,55,32,0,275,60,21,13,8,0,102,2229
Prov. Bali,1260,603,230,81,0,2174,286,75,31,17,0,409,125,25,4,6,0,160,129,32,6,1,0,168,2911
Prov. Nusa Tenggara Barat,899,765,621,251,0,2536,340,230,166,52,0,788,132,76,62,22,0,292,147,73,36,11,0,267,3883
Prov. Nusa Tenggara Timur,1627,1189,895,596,0,4307,823,400,254,149,0,1626,315,142,57,32,0,546,166,51,25,29,0,271,6750
Prov. Papua,434,283,219,157,0,1093,225,169,88,68,0,550,89,86,27,15,0,217,53,45,22,14,0,134,1994
Prov. Bengkulu,506,359,307,93,0,1265,199,137,85,34,0,455,84,36,23,7,0,150,53,27,16,4,0,100,1970
Prov. Maluku Utara,284,221,283,147,0,935,142,95,109,51,0,397,95,42,24,21,0,182,48,20,14,3,0,85,1599
Prov. Banten,1661,793,399,337,0,3190,797,291,202,78,0,1368,396,110,54,20,0,580,418,192,53,18,0,681,5819
Prov. Kepulauan Bangka Belitung,400,183,138,114,0,835,150,44,13,13,0,220,45,4,10,6,0,65,44,6,6,0,0,56,1176
Prov. Gorontalo,414,189,192,79,0,874,183,65,52,30,0,330,54,11,4,2,0,71,37,13,3,2,0,55,1330
Prov. Kepulauan Riau,529,145,77,78,0,829,263,58,22,12,0,355,123,18,8,6,0,155,80,19,5,1,0,105,1444
Prov. Papua Barat,237,136,89,76,0,538,124,68,44,34,0,270,58,40,15,10,0,123,23,13,4,4,0,44,975
Prov. Sulawesi Barat,313,216,246,200,0,975,126,76,68,58,0,328,52,18,10,10,0,90,53,15,15,9,0,92,1485
Prov. Kalimantan Utara,187,93,39,40,0,359,95,30,19,16,0,160,31,15,2,6,0,54,14,5,3,0,0,22,595
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
