Provinsi,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Rata-rata kemiskinan tahun 2022
Aceh,15.33,15.53,14.64,14.75,14.45,-,14.695
Sumatera Utara,9.01,8.49,8.42,8.33,8.15,-,8.375
Sumatera Barat,6.63,6.04,5.92,6.04,5.95,-,5.98
Riau,7.12,7,6.78,6.84,6.68,-,6.81
Jambi,8.09,7.67,7.62,7.7,7.58,-,7.66
Sumatera Selatan,12.84,12.79,11.9,11.95,11.78,-,11.925
Bengkulu,15.22,14.43,14.62,14.34,14.04,-,14.48
Lampung,12.62,11.67,11.57,11.44,11.11,-,11.505
Kepulauan Bangka Belitung,4.9,4.67,4.45,4.61,4.52,-,4.53
Kepulauan Riau,6.12,5.75,6.24,6.03,5.69,-,6.135
DKI Jakarta,4.72,4.67,4.69,4.61,4.44,-,4.65
Jawa Barat,8.4,7.97,8.06,7.98,7.62,-,8.02
Jawa Tengah,11.79,11.25,10.93,10.98,10.77,-,10.955
DI. Yogyakarta,12.8,11.91,11.34,11.49,11.04,-,11.415
Jawa Timur,11.4,10.59,10.38,10.49,10.35,-,10.435
Banten,6.66,6.5,6.16,6.24,6.17,-,6.2
Bali,4.53,4.72,4.57,4.53,4.25,-,4.55
Nusa Tenggara Barat,14.14,13.83,13.68,13.82,13.85,-,13.75
Nusa Tenggara Timur,20.99,20.44,20.05,20.23,19.96,-,20.14
Kalimantan Barat,7.15,6.84,6.73,6.81,6.71,-,6.77
Kalimantan Tengah,5.16,5.16,5.28,5.22,5.11,-,5.25
Kalimantan Selatan,4.83,4.56,4.49,4.61,4.29,-,4.55
Kalimantan Timur,6.54,6.27,6.31,6.44,6.11,-,6.375
Kalimantan Utara,7.36,6.83,6.77,6.86,6.45,-,6.815
Sulawesi Utara,7.77,7.36,7.28,7.34,7.38,-,7.31
Sulawesi Tengah,13,12.18,12.33,12.3,12.41,-,12.315
Sulawesi Selatan,8.78,8.53,8.63,8.66,8.7,-,8.645
Sulawesi Tenggara,11.66,11.74,11.17,11.27,11.43,-,11.22
Gorontalo,15.61,15.41,15.42,15.51,15.15,-,15.465
Sulawesi Barat,11.29,11.85,11.75,11.92,11.49,-,11.835
Maluku,17.87,16.3,15.97,16.23,16.42,-,16.1
Maluku Utara,6.89,6.38,6.23,6.37,6.46,-,6.3
Papua Barat,21.84,21.82,21.33,21.43,20.49,-,21.38
Papua,26.86,27.38,26.56,26.8,26.03,-,26.68
